Timestamp,Date,Time,Humidity (%),Temperature (°C)
20250803150403,2025-08-03,15:04:03,56.0,17.0
20250803150405,2025-08-03,15:04:05,56.0,17.0
20250803150407,2025-08-03,15:04:07,56.0,17.0
20250803150409,2025-08-03,15:04:09,56.0,17.0
20250803150411,2025-08-03,15:04:11,56.0,17.0
20250803150413,2025-08-03,15:04:13,56.0,17.0
20250803150415,2025-08-03,15:04:15,56.0,17.0
20250803150417,2025-08-03,15:04:17,56.0,17.0
20250803150419,2025-08-03,15:04:19,56.0,17.0
20250803150421,2025-08-03,15:04:21,56.0,17.0
20250803150423,2025-08-03,15:04:23,56.0,17.0
20250803150425,2025-08-03,15:04:25,56.0,17.0
20250803150427,2025-08-03,15:04:27,56.0,17.0
20250803150429,2025-08-03,15:04:29,56.0,17.0
20250803150431,2025-08-03,15:04:31,56.0,17.0
20250803150433,2025-08-03,15:04:33,56.0,17.0
20250803150436,2025-08-03,15:04:36,56.0,17.0
20250803150438,2025-08-03,15:04:38,56.0,17.0
20250803150440,2025-08-03,15:04:40,56.0,17.0
20250803150442,2025-08-03,15:04:42,56.0,17.0
20250803150444,2025-08-03,15:04:44,56.0,17.0
20250803150446,2025-08-03,15:04:46,56.0,17.0
20250803150448,2025-08-03,15:04:48,56.0,17.0
20250803150450,2025-08-03,15:04:50,56.0,17.0
20250803150452,2025-08-03,15:04:52,56.0,17.0
20250803150454,2025-08-03,15:04:54,56.0,17.0
20250803150456,2025-08-03,15:04:56,56.0,17.0
20250803150458,2025-08-03,15:04:58,56.0,17.0
20250803150500,2025-08-03,15:05:00,56.0,17.0
20250803150502,2025-08-03,15:05:02,56.0,17.0
20250803150504,2025-08-03,15:05:04,56.0,17.0
20250803150506,2025-08-03,15:05:06,56.0,17.0
20250803150508,2025-08-03,15:05:08,56.0,17.0
20250803150510,2025-08-03,15:05:10,56.0,17.0
20250803150512,2025-08-03,15:05:12,56.0,17.0
20250803150514,2025-08-03,15:05:14,56.0,17.0
20250803150516,2025-08-03,15:05:16,56.0,17.0
20250803150518,2025-08-03,15:05:18,56.0,17.0
20250803150520,2025-08-03,15:05:20,56.0,17.0
20250803150522,2025-08-03,15:05:22,56.0,17.0
20250803150524,2025-08-03,15:05:24,56.0,17.0
20250803150526,2025-08-03,15:05:26,56.0,17.0
20250803150528,2025-08-03,15:05:28,56.0,17.0
20250803150530,2025-08-03,15:05:30,56.0,17.0
20250803150532,2025-08-03,15:05:32,56.0,17.0
20250803150534,2025-08-03,15:05:34,56.0,17.0
20250803150536,2025-08-03,15:05:36,56.0,17.0
20250803150538,2025-08-03,15:05:38,56.0,17.0
20250803150540,2025-08-03,15:05:40,56.0,17.0
20250803150542,2025-08-03,15:05:42,56.0,17.0
20250803150544,2025-08-03,15:05:44,56.0,17.0
20250803150546,2025-08-03,15:05:46,56.0,17.0
20250803150548,2025-08-03,15:05:48,56.0,17.0
