ts,gx,gy,gz
2025-09-07T01:46:30.595+00:00,-0.12207,-0.366211,-0.12207
2025-09-07T01:46:30.840+00:00,-2.380371,-0.366211,-0.183105
2025-09-07T01:46:31.078+00:00,-4.394531,-0.305176,-0.244141
2025-09-07T01:46:31.330+00:00,-3.967285,-0.305176,-0.244141
2025-09-07T01:46:31.578+00:00,-2.746582,-0.366211,-0.183105
2025-09-07T01:46:31.864+00:00,0.549316,-0.366211,-0.183105
2025-09-07T01:46:32.128+00:00,1.403809,-0.366211,-0.183105
2025-09-07T01:46:32.375+00:00,2.258301,-0.427246,-0.12207
2025-09-07T01:46:32.640+00:00,1.037598,-0.366211,-0.183105
2025-09-07T01:46:32.900+00:00,0.0,-0.366211,-0.183105
2025-09-07T01:46:33.155+00:00,-1.831055,-0.366211,-0.244141
2025-09-07T01:46:33.412+00:00,-1.403809,-0.305176,-0.183105
2025-09-07T01:46:33.693+00:00,-1.403809,-0.305176,-0.183105
2025-09-07T01:46:33.982+00:00,-1.159668,-0.366211,-0.183105
2025-09-07T01:46:34.340+00:00,-1.098633,-0.366211,-0.183105
2025-09-07T01:46:34.587+00:00,-1.525879,-0.305176,-0.183105
2025-09-07T01:46:34.881+00:00,-1.037598,-0.366211,-0.183105
2025-09-07T01:46:35.140+00:00,-0.244141,-0.366211,-0.183105
2025-09-07T01:46:35.409+00:00,0.793457,-0.366211,-0.183105
2025-09-07T01:46:35.715+00:00,1.831055,-0.366211,-0.183105
2025-09-07T01:46:35.979+00:00,1.464844,-0.366211,-0.12207
2025-09-07T01:46:36.259+00:00,-0.488281,-0.366211,-0.183105
2025-09-07T01:46:36.517+00:00,-2.197266,-0.305176,-0.183105
2025-09-07T01:46:36.777+00:00,-3.78418,-0.305176,-0.183105
2025-09-07T01:46:37.052+00:00,-2.929688,-0.366211,-0.183105
2025-09-07T01:46:37.302+00:00,-1.831055,-0.366211,-0.183105
2025-09-07T01:46:37.576+00:00,1.098633,-0.366211,-0.183105
2025-09-07T01:46:37.858+00:00,2.258301,-0.366211,-0.183105
2025-09-07T01:46:38.605+00:00,2.624512,-0.366211,-0.183105
2025-09-07T01:46:38.925+00:00,0.732422,-0.366211,-0.12207
2025-09-07T01:46:39.662+00:00,-1.77002,-0.366211,-0.183105
2025-09-07T01:46:40.376+00:00,-2.563477,-0.305176,-0.244141
2025-09-07T01:46:40.665+00:00,-2.563477,-0.366211,-0.244141
2025-09-07T01:46:41.337+00:00,-0.549316,-0.366211,-0.183105
2025-09-07T01:46:41.738+00:00,0.183105,-0.366211,-0.183105
2025-09-07T01:46:42.122+00:00,1.159668,-0.366211,-0.12207
2025-09-07T01:46:42.530+00:00,-0.183105,-0.366211,-0.183105
2025-09-07T01:46:42.851+00:00,-0.793457,-0.366211,-0.183105
2025-09-07T01:46:43.152+00:00,-1.220703,-0.366211,-0.183105
2025-09-07T01:46:43.449+00:00,-0.793457,-0.305176,-0.183105
2025-09-07T01:46:43.762+00:00,0.0,-0.366211,-0.244141
2025-09-07T01:46:44.053+00:00,-15.258789,-0.427246,-0.12207
2025-09-07T01:46:44.525+00:00,0.366211,-0.366211,-0.12207
2025-09-07T01:46:44.889+00:00,-1.159668,-0.305176,-0.183105
2025-09-07T01:46:45.186+00:00,-3.540039,-0.366211,-0.183105
2025-09-07T01:46:45.587+00:00,-0.732422,-0.427246,-0.12207
2025-09-07T01:46:45.940+00:00,-0.366211,-0.305176,-0.183105
2025-09-07T01:46:46.212+00:00,2.197266,-0.366211,-0.183105
2025-09-07T01:46:46.518+00:00,1.464844,-0.427246,-0.183105
2025-09-07T01:46:46.782+00:00,1.525879,-0.427246,-0.183105
2025-09-07T01:46:47.082+00:00,-1.342773,-0.305176,-0.12207
2025-09-07T01:46:47.353+00:00,-2.258301,-0.366211,-0.12207
2025-09-07T01:46:47.610+00:00,-4.760742,-0.305176,-0.305176
2025-09-07T01:46:48.234+00:00,-1.159668,-0.366211,-0.12207
2025-09-07T01:46:48.500+00:00,1.281738,-0.366211,-0.12207
2025-09-07T01:46:48.756+00:00,3.173828,-0.427246,-0.12207
2025-09-07T01:46:49.008+00:00,1.525879,-0.366211,-0.244141
2025-09-07T01:46:49.295+00:00,0.915527,-0.366211,-0.183105
2025-09-07T01:46:49.549+00:00,-2.319336,-0.366211,-0.183105
2025-09-07T01:46:49.791+00:00,-2.13623,-0.366211,-0.183105
2025-09-07T01:46:50.038+00:00,-3.356934,-0.305176,-0.305176
2025-09-07T01:46:50.305+00:00,-1.342773,-0.366211,-0.183105
2025-09-07T01:46:50.557+00:00,0.305176,-0.427246,-0.12207
2025-09-07T01:46:50.805+00:00,1.220703,-0.427246,-0.12207
2025-09-07T01:46:51.063+00:00,-15.136719,-0.366211,-0.183105
2025-09-07T01:46:51.321+00:00,-0.488281,-0.366211,-0.12207
2025-09-07T01:46:51.583+00:00,-0.793457,-0.366211,-0.183105
2025-09-07T01:46:51.832+00:00,-0.12207,-0.366211,-0.244141
2025-09-07T01:46:52.084+00:00,-0.183105,-0.366211,-0.244141
2025-09-07T01:46:52.359+00:00,0.244141,-0.366211,-0.183105
2025-09-07T01:46:52.631+00:00,-0.427246,-0.366211,-0.12207
2025-09-07T01:46:52.866+00:00,-1.77002,-0.366211,-0.183105
2025-09-07T01:46:53.133+00:00,-2.502441,-0.366211,-0.183105
2025-09-07T01:46:53.391+00:00,-2.258301,-0.305176,-0.244141
2025-09-07T01:46:53.642+00:00,-0.305176,-0.366211,-0.183105
2025-09-07T01:46:53.904+00:00,1.647949,-0.427246,-0.183105
2025-09-07T01:46:54.167+00:00,2.502441,-0.366211,-0.183105
2025-09-07T01:46:54.426+00:00,1.037598,-0.366211,-0.12207
2025-09-07T01:46:54.670+00:00,-1.037598,-0.366211,-0.12207
2025-09-07T01:46:54.936+00:00,-2.929688,-0.305176,-0.183105
2025-09-07T01:46:55.192+00:00,-3.845215,-0.244141,-0.183105
2025-09-07T01:46:55.446+00:00,-2.563477,-0.305176,-0.183105
2025-09-07T01:46:55.719+00:00,-0.12207,-0.366211,-0.183105
2025-09-07T01:46:55.978+00:00,1.77002,-0.366211,-0.183105
2025-09-07T01:46:56.229+00:00,1.89209,-0.366211,-0.183105
2025-09-07T01:46:56.509+00:00,1.098633,-0.366211,-0.12207
2025-09-07T01:46:56.764+00:00,-0.610352,-0.366211,-0.12207
2025-09-07T01:46:57.003+00:00,-1.708984,-0.305176,-0.183105
2025-09-07T01:46:57.250+00:00,-1.89209,-0.305176,-0.244141
2025-09-07T01:46:57.503+00:00,-0.183105,-0.305176,-0.183105
2025-09-07T01:46:57.772+00:00,0.854492,-0.366211,-0.183105
2025-09-07T01:46:58.007+00:00,0.854492,-0.366211,-0.183105
2025-09-07T01:46:58.264+00:00,-0.427246,-0.305176,-0.183105
2025-09-07T01:46:58.512+00:00,-1.831055,-0.305176,-0.183105
2025-09-07T01:46:58.757+00:00,-2.258301,-0.305176,-0.183105
2025-09-07T01:46:58.999+00:00,-1.647949,-0.305176,-0.183105
2025-09-07T01:46:59.247+00:00,-0.183105,-0.366211,-0.244141
2025-09-07T01:46:59.487+00:00,1.586914,-0.427246,-0.183105
2025-09-07T01:46:59.727+00:00,2.258301,-0.366211,-0.12207
2025-09-07T01:46:59.979+00:00,0.305176,-0.366211,-0.183105
2025-09-07T01:47:00.256+00:00,-2.01416,-0.305176,-0.183105
2025-09-07T01:47:00.564+00:00,-3.173828,-0.305176,-0.183105
2025-09-07T01:47:00.814+00:00,-2.807617,-0.305176,-0.183105
2025-09-07T01:47:01.072+00:00,-1.403809,-0.366211,-0.183105
2025-09-07T01:47:01.316+00:00,0.427246,-0.305176,-0.244141
2025-09-07T01:47:01.571+00:00,1.647949,-0.366211,-0.183105
2025-09-07T01:47:01.829+00:00,1.708984,-0.427246,-0.12207
2025-09-07T01:47:02.086+00:00,0.366211,-0.366211,-0.183105
2025-09-07T01:47:02.360+00:00,-1.281738,-0.366211,-0.183105
2025-09-07T01:47:02.599+00:00,-1.831055,-0.366211,-0.183105
2025-09-07T01:47:02.859+00:00,-0.915527,-0.366211,-0.183105
2025-09-07T01:47:03.088+00:00,0.0,-0.366211,-0.183105
2025-09-07T01:47:03.346+00:00,0.366211,-0.366211,-0.183105
2025-09-07T01:47:03.607+00:00,-0.061035,-0.366211,-0.183105
2025-09-07T01:47:03.856+00:00,-0.976562,-0.366211,-0.183105
2025-09-07T01:47:04.116+00:00,-1.77002,-0.366211,-0.183105
2025-09-07T01:47:04.365+00:00,-1.708984,-0.305176,-0.183105
2025-09-07T01:47:04.624+00:00,-0.488281,-0.366211,-0.183105
